target_mean_returns,min_std_dev,Russel 2000 TR,S&P 500 TR,LB LT Gvt/Credit TR,MSCI EAFE TR,portfolio_mean_return,Sharpe_Ratio,Sum_of_weights
5.5,11.1,0.00,0.52,0.48,0.00,5.50,0.50,1.00
8.2,11.9,0.00,0.00,0.68,0.32,8.20,0.69,1.00
11.0,13.8,0.25,-0.61,0.76,0.60,11.00,0.80,1.00
13.9,16.4,0.48,-1.22,0.88,0.87,13.90,0.85,1.00
15.2,10.7,-0.31,0.84,0.50,-0.03,15.20,1.42,1.00
17.1,19.7,0.74,-1.90,1.00,1.16,17.10,0.87,1.00
19.7,22.5,0.96,-2.46,1.10,1.40,19.70,0.88,1.00
21.3,24.3,1.09,-2.80,1.16,1.55,21.30,0.88,1.00
23.2,26.5,1.24,-3.20,1.24,1.72,23.20,0.88,1.00
24.8,28.4,1.37,-3.54,1.30,1.87,24.80,0.87,1.00
