Date,U.S. 30 Day TBill TR,Russell 2000 TR,S&P 500 TR,LB LT Gvt/Credit TR,MSCI EAFE TR,Period
1980-01-31,0.8,8.42,6.1,-6.14,4.84,1980s
1980-02-29,0.89,-1.8,0.31,-7.92,-0.4,1980s
1980-03-31,1.21,-18.109999,-9.87,-0.43,-10.62,1980s
1980-04-30,1.26,6.2700005,4.29,14.17,9.46,1980s
1980-05-31,0.81,8.34,5.6200004,5.81,4.67,1980s
1980-06-30,0.61,4.4,2.96,2.71,6.3900003,1980s
1980-07-31,0.53,11.22,6.7599998,-3.6299999,-0.49,1980s
1980-08-31,0.64,6.8999996,1.3100001,-4.4,3.4699998,1980s
1980-09-30,0.75,3.1599998,2.8100002,-2.5800002,3.5,1980s
1980-10-31,0.95,4.07,1.87,-1.4100001,4.21,1980s
1980-11-30,0.96000004,7.2999997,10.95,0.0,-2.02,1980s
1980-12-31,1.3100001,-3.44,-3.15,3.0,0.51,1980s
1981-01-31,1.04,-0.37,-4.38,-0.61,-1.36,1980s
1981-02-28,1.07,0.61,2.08,-3.09,-1.3199999,1980s
1981-03-31,1.21,8.030001,3.8,2.47,3.6100001,1980s
1981-04-30,1.08,2.7,-2.1299999,-6.1,2.72,1980s
1981-05-31,1.15,3.34,0.62,5.59,-4.21,1980s
1981-06-30,1.35,-2.27,-0.8,-0.82,0.71,1980s
1981-07-31,1.24,-2.44,0.07,-2.85,-4.04,1980s
1981-08-31,1.28,-7.7299995,-5.54,-3.6499999,2.3700001,1980s
1981-09-30,1.24,-8.38,-5.02,-2.29,-9.929999,1980s
1981-10-31,1.21,8.47,5.2799997,7.2200003,1.66,1980s
1981-11-30,1.07,3.21,4.4100003,11.37,11.13,1980s
1981-12-31,0.87,-1.6,-2.6499999,-5.6000004,-0.92,1980s
1982-01-31,0.8,-3.5,-1.63,0.120000005,-0.65999997,1980s
1982-02-28,0.92,-4.97,-5.12,2.27,-6.3600006,1980s
1982-03-31,0.98,-1.12,-0.6,2.0300002,-4.8500004,1980s
1982-04-30,1.13,5.33,4.14,3.8899999,6.5,1980s
1982-05-31,1.06,-2.84,-2.8799999,1.64,-1.3000001,1980s
1982-06-30,0.96000004,-3.6899998,-1.74,-2.78,-7.47,1980s
1982-07-31,1.05,-1.47,-2.15,5.04,-1.15,1980s
1982-08-31,0.76,7.99,12.67,8.0,0.060000002,1980s
1982-09-30,0.51,3.8899999,1.1,6.25,-0.63,1980s
1982-10-31,0.59000003,14.370001,11.26,8.01,0.43,1980s
1982-11-30,0.63,9.11,4.38,0.91,8.030001,1980s
1982-12-31,0.66999996,1.35,1.73,2.0,7.98,1980s
1983-01-31,0.69,7.6,3.48,-1.02,-0.84,1980s
1983-02-28,0.62,6.23,2.6000001,4.37,2.79,1980s
1983-03-31,0.63,2.74,3.6499999,0.8,3.9,1980s
1983-04-30,0.71,7.29,7.58,4.71,5.73,1980s
1983-05-31,0.69,7.2,-0.52,-3.22,-0.47,1980s
1983-06-30,0.66999996,4.5899997,3.82,0.08,2.3,1980s
